IMU_No   AccX,AccY,AccZ,GyroX,GyroY,GyroZ
IMU 2   -15668,1652,1288,604,91,3767
IMU 3   -7308,-76,-2504,-2261,2119,4087
IMU 1   2124,20584,-11380,112,114,223
IMU 2   -10284,880,872,-659,638,2973
IMU 3   -15864,-8000,-1304,-1841,3981,7047
IMU 1   3180,16564,-5728,-946,-317,-214
IMU 2   -11508,1940,1316,-960,252,-1197
IMU 3   -29548,-12744,6000,1057,5006,7031
IMU 1   2480,17736,-4412,499,-456,154
IMU 2   -13824,14428,6180,-709,144,991
        -15768,-16668,12856,-693,-1477,-
IMU 3   1596
IMU 1   -1468,7816,-4680,-497,-393,-208
IMU 2   -18336,15168,6532,-1959,554,136
        -16072,-10276,-764,-1332,-1673,-
IMU 3   4015
IMU 1   2392,14800,-6532,271,297,158
IMU 2   -14656,368,928,-2000,291,-1763
IMU 3   -15592,-1688,564,-189,-657,-1377
IMU 1   3788,13228,-3460,-395,-38,95
IMU 2   -15040,3200,40,-758,220,-2231
IMU 3   -15596,-4232,-932,564,-491,-1129
IMU 1   3372,-260,-7804,-1086,-11,-736
IMU 2   -14992,340,476,-657,432,-2050
IMU 3   -16052,-5032,-720,511,-618,-922
IMU 1   2552,10992,-3912,-162,716,-85
IMU 2   -15860,-692,-676,-420,330,-1518
IMU 3   -16464,-7244,-640,756,-1422,-1737
IMU 1   5600,11668,-4632,-19,-298,54
IMU 2   -18676,460,-148,708,-134,-652
IMU 3   -21316,-7268,1220,1265,-2296,-3229
IMU 1   924,9932,-6324,-392,-23,-152
IMU 2   -13148,-8,2416,2691,-1662,3128
IMU 3   -19492,-9972,6184,1572,-3482,-5350
IMU 1   2788,26828,-5408,254,116,1106
IMU 2   -16824,2028,2044,1163,152,3450
IMU 3   -6036,8180,-552,1081,1161,1953
IMU 1   7256,23664,-7580,-189,180,493
IMU 2   -14100,152,1520,-501,215,3441
IMU 3   -12956,-5196,-1412,-2026,4377,6132
IMU 1   2684,16752,-4664,-802,-227,-4
IMU 2   -10700,2300,1420,-244,147,448
IMU 3   -24776,-8532,1612,-398,5885,6920
IMU 1   5652,20440,-4104,460,285,385
IMU 2   -18612,16548,740,518,1384,-1800
IMU 3   -19712,-20536,12732,483,3631,3586
IMU 1   292,8340,-1068,-880,-411,-487
IMU 2   -17380,3268,-1340,377,-16,-563
IMU 3   -20860,-2884,12524,286,-2613,-3588
IMU 1   1956,8784,-8120,-80,-32,-51
IMU 2   -19264,2224,-2764,1880,-39,-2977
        -16568,-8292,-1976,1130,-1841,-
IMU 3   2593
IMU 1   2632,6584,-9088,-268,-137,136
IMU 2   -15352,-2380,-68,-893,182,-2651
IMU 3   -15896,-3768,-996,1278,-415,-583
IMU 1   1108,13824,-14796,312,-44,432
IMU 2   -15052,3920,420,-1600,33,-1912
IMU 3   -15816,-4568,-424,818,-401,-798
IMU 1   4440,16544,-7308,-10,316,576
IMU 2   -16208,-1568,340,-264,320,-2230
IMU 3   -16568,-6068,364,1291,-1066,-1232
IMU 1   4984,19892,-4300,-553,123,213
IMU 2   -15924,684,484,99,-57,-971
IMU 3   -17932,-6252,1548,623,-2707,-2554
IMU 1   2972,15312,-5364,-98,-89,-51
IMU 2   -18620,2412,-336,1746,-1235,1450
IMU 3   -27436,264,-1100,1106,-3823,-4052
IMU 1   4056,18160,-3864,-868,502,9
IMU 2   -18696,-1604,2764,1418,-506,3925
IMU 3   -12260,-8176,2964,208,-2201,-2115
IMU 1   3260,19380,-4968,156,606,263
IMU 2   -16448,1380,1620,524,10,4049
IMU 3   -7140,-3232,-2120,-1781,2327,4768
IMU 1   2668,16388,-3824,401,49,232
IMU 2   -11960,540,680,328,286,1856
IMU 3   -17164,-7328,-1328,-1406,4865,6681
IMU 1   2080,13352,-5208,-598,-362,-52
IMU 2   -10720,1720,-632,-573,195,-1461
IMU 3   -30256,-11492,3524,1280,5593,6781
IMU 1   2420,19056,-11576,-121,-360,-99
IMU 2   -12084,18184,6028,-704,809,688
        -16444,-18060,19316,-1337,-2188,-
IMU 3   3289
IMU 1   760,18304,-5580,-693,-416,216
IMU 2   -8968,-16324,952,-1653,1071,743
        -11372,-4616,-8412,-2664,-2249,-
IMU 3   3513
IMU 1   6320,16888,-1676,-1230,-191,-541

IMU 2   -14848,-2520,572,-1738,280,-1402
IMU 3   -15016,-6832,-1824,-56,-1503,-1921
IMU 1   3480,27168,784,273,-246,765
IMU 2   -14996,3344,-720,-1034,69,-2319
IMU 3   -14844,-6188,-604,962,-498,-767
IMU 1   4644,21868,-11560,-261,254,221
IMU 2   -14284,280,-156,-1504,403,-2371
IMU 3   -15784,-5688,340,444,-464,-798
IMU 1   3948,10612,-1968,228,-127,125
IMU 2   -17136,2332,-1000,416,238,-1577
IMU 3   -18224,-6952,984,826,-1480,-1975
IMU 1   44,14256,-6164,1540,-210,726
IMU 2   -19456,2864,-1360,1251,-565,-28
IMU 3   -24436,-7400,948,1732,-2928,-3817
IMU 1   3532,23272,-14108,-643,587,127
IMU 2   -17188,-3820,3344,2450,-847,3224
        -14744,-11692,-2572,624,-2736,-
IMU 3   4400
IMU 1   4520,10460,-9028,581,-7,397
IMU 2   -16224,976,1388,530,-157,3361
IMU 3   -7648,504,-2692,-2410,1587,3255
IMU 1   2880,17740,-9872,-16,-460,25
IMU 2   -12136,820,1724,16,342,2836
IMU 3   -16904,-6296,-64,-900,4350,6472
IMU 1   6472,16160,-4288,93,-10,445
IMU 2   -10928,2276,292,-133,-155,-408
IMU 3   -26928,-8048,2392,-426,5851,7151
IMU 1   5052,20644,-4980,222,35,331
IMU 2   -14908,22800,3084,-614,1018,197
IMU 3   -15796,-22004,18772,1156,1527,971
IMU 1   1804,8068,-1964,60,-339,-155
IMU 2   -29064,9360,14116,-2050,747,-1665
        -32768,-3652,10916,-229,-2565,-
IMU 3   4862
IMU 1   3496,14740,-8872,-47,-283,224
IMU 2   -17884,7848,-2104,-1109,264,-1523
IMU 3   -16664,-864,1028,516,-1326,-1954
IMU 1   684,17884,-10340,-108,-442,-141
IMU 2   -16208,516,-728,-595,277,-2298
IMU 3   -14800,-5556,732,1020,-562,-1023
IMU 1   3616,18624,-6632,661,281,879
IMU 2   -14872,1504,108,-1756,203,-1911
IMU 3   -15348,-6588,216,610,-301,-446
IMU 1   5584,16552,-13524,309,902,480
IMU 2   -14704,1656,-800,-719,402,-1885
IMU 3   -15788,-6844,-388,811,-917,-1175
IMU 1   3368,20220,-13372,-218,411,237
IMU 2   -17464,1216,-8,-109,-200,-552
IMU 3   -19976,-7912,1080,932,-2391,-2850
IMU 1   1360,8912,-2396,-675,-382,-14
IMU 2   -15592,7012,1916,2446,-1330,964
IMU 3   -26908,1268,-3336,2836,-2711,-3902
IMU 1   4068,19120,-11604,471,-312,761
IMU 2   -20096,-856,1548,954,-639,3561
IMU 3   -10640,-8428,-896,473,-1323,-1706
IMU 1   4184,10696,-2276,44,-283,249
IMU 2   -15812,2216,1928,-154,-18,3971
IMU 3   -9836,-3992,-3312,-1711,2705,6008
IMU 1   1512,19448,-7356,-486,-99,304
IMU 2   -11268,-1376,3204,-44,-5,1847
IMU 3   -18388,-8612,-2584,-1705,5608,7393
IMU 1   -296,8544,808,-752,-431,109
IMU 2   -12808,8592,-332,135,552,-2720
IMU 3   -27920,-18352,9720,1490,5470,6014
IMU 1   -12,16260,-8772,-411,-159,131
IMU 2   -18568,8364,492,-52,1257,752
IMU 3   -20656,32767,-28776,-6674,50,-1100
IMU 1   1952,16424,-10100,-105,320,274
IMU 2   -12956,-18616,-48,2155,384,-2450
IMU 3   -11288,-9436,-8092,-157,-2228,-3197
IMU 1   1064,12592,-4636,-722,312,-308
IMU 2   -14788,-616,340,-1323,211,-1749
IMU 3   -15600,-6736,-2852,792,-1209,-1617
IMU 1   8196,28468,-10688,1369,159,1186
IMU 2   -14576,2392,260,-1293,162,-2217
IMU 3   -14920,-5936,-4,911,-580,-882
IMU 1   -1432,5092,-9556,99,-89,-564
IMU 2   -14904,228,-696,-1049,372,-2539
IMU 3   -15792,-6068,1004,291,-379,-878
IMU 1   5152,22172,-7944,284,-87,521
IMU 2   -17120,2512,-1604,104,186,-1469
IMU 3   -18648,-6780,176,799,-1509,-2097
