Time,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z,Phase
10.92,-0.04,0.01,-0.11,19.9,20.05,27.98,Foot Liftoff
10.96,-0.06,0.15,0.02,-8.91,-0.68,47.05,Foot Liftoff
11.01,-0.09,0.03,0.03,-18.06,0.58,51.16,Foot Liftoff
11.05,-0.15,-0.02,-0.07,-26.01,-3.74,72.42,Foot Liftoff
11.09,-0.25,-0.01,-0.07,-20.99,-13.78,87.9,Foot Liftoff
11.14,-0.43,-0.01,-0.09,-5.96,-18.62,85.86,Heel Landing
11.18,-0.54,-0.28,-0.16,-5.64,-14.59,88.04,Heel Landing
11.23,-0.43,-0.4,-0.12,-16.68,-7.8,70.53,Heel Landing
11.27,-0.16,-0.57,-0.19,-7.57,0.12,14.98,Foot Landing
11.31,0.24,-0.01,-0.1,-6.8,13.2,-40.01,Foot Landing
11.36,-0.32,-0.26,-0.11,-4.76,14.66,-47.35,Foot Landing
11.4,-0.23,0,-0.16,14.13,18.23,-27.77,Foot Landing
11.45,-0.32,-0.29,-0.16,-4.11,5.26,-24.68,Foot Landing
11.49,-0.22,-0.04,-0.07,5.58,6.43,-12.09,Foot Landing
11.53,-0.24,-0.01,-0.12,1.92,6.38,-6.83,Foot Landing
11.57,-0.23,-0.02,-0.12,6.32,4.6,-5.16,Foot Landing
11.62,-0.24,-0.03,-0.11,7.45,3.37,-5,Foot Landing
11.66,-0.23,-0.03,-0.12,8.16,1.01,-5.8,Foot Landing
11.7,-0.23,-0.04,-0.12,10.54,1.85,-4.43,Foot Landing
11.74,-0.22,-0.05,-0.12,3.76,-0.41,-9.06,Foot Landing
11.78,-0.23,-0.04,-0.12,2.64,-0.75,-9.89,Foot Landing
11.83,-0.24,-0.05,-0.12,3.87,-0.74,-9.81,Heel Liftoff
11.87,-0.26,-0.04,-0.12,4.78,-0.04,-13.02,Heel Liftoff
11.91,-0.3,-0.04,-0.1,6.16,3.46,-22.02,Heel Liftoff
11.96,-0.33,-0.05,-0.13,10.17,7.4,-30.97,Foot Liftoff
12,-0.4,0.03,-0.13,20.58,4.03,-44.4,Foot Liftoff
12.04,-0.42,0.04,0,27.13,-4.78,-65.71,Foot Liftoff
12.09,-0.46,-0.45,-0.29,12.89,24.28,-77.71,Foot Liftoff
12.13,-0.14,0.19,-0.04,18.05,7.96,-55.51,Foot Liftoff
12.17,-0.04,-0.28,-0.11,37.94,5.71,-17.64,Foot Liftoff
12.22,-0.11,0.09,-0.1,5.65,9.45,41.36,Foot Liftoff
12.26,-0.08,0.1,0.04,-8.34,-5.34,48.2,Foot Liftoff
12.3,-0.11,0,-0.01,-8.16,-1.58,59.62,Foot Liftoff
12.34,-0.2,0,-0.06,-15.37,-8.78,80.74,Foot Liftoff
12.39,-0.31,-0.01,-0.06,-12.77,-15.85,90.49,Foot Liftoff
12.43,-0.58,-0.11,-0.12,-13.17,-22.11,89.15,Heel Landing
12.48,-0.56,-0.32,-0.18,-18.77,-23,93.18,Heel Landing
12.52,-0.24,-0.58,-0.3,-0.03,-2.49,35.94,Foot Landing
12.57,-1.19,-0.08,-0.4,14.64,52.8,-48.04,Foot Landing
12.61,-0.13,-0.14,0.23,-26.93,5.32,-61.92,Foot Landing
12.66,-0.29,-0.19,-0.1,9.62,16.92,-35.64,Foot Landing
12.7,-0.25,-0.03,-0.21,-3.22,7.95,-27.67,Foot Landing
12.74,-0.22,0.06,-0.01,5.08,6.55,-15.02,Foot Landing
12.78,-0.23,-0.01,-0.09,3.21,6.26,-10.5,Foot Landing
12.83,-0.23,-0.03,-0.11,4.13,5.44,-7.9,Foot Landing
12.87,-0.24,-0.04,-0.11,4.86,3.78,-7.7,Foot Landing
12.91,-0.23,-0.04,-0.12,7.67,2.46,-7.12,Foot Landing
12.95,-0.24,-0.05,-0.11,7.4,1.47,-7.24,Foot Landing
12.99,-0.24,-0.04,-0.11,6.07,0.19,-7.79,Foot Landing
13.04,-0.23,-0.05,-0.12,4.71,-0.77,-8.11,Foot Landing
13.08,-0.23,-0.06,-0.13,4.96,0.49,-8.41,Heel Liftoff
13.12,-0.26,-0.05,-0.1,4.58,0.61,-10.59,Heel Liftoff
13.16,-0.29,-0.04,-0.1,4.55,3.37,-17.25,Heel Liftoff
13.21,-0.29,-0.05,-0.11,7.16,5.52,-25.19,Foot Liftoff
13.25,-0.37,-0.01,-0.11,14.53,3.69,-35.43,Foot Liftoff
13.29,-0.44,0.07,0,21.37,-6.36,-60.35,Foot Liftoff
13.34,-0.4,-0.24,-0.18,2.75,17.98,-88.52,Foot Liftoff
13.38,-0.34,0.13,-0.12,13.53,13.83,-60.61,Foot Liftoff
13.42,-0.07,-0.21,-0.15,40.22,-5.97,-46.06,Foot Liftoff
13.47,-0.04,-0.03,-0.1,19.01,10.11,30.29,Foot Liftoff
13.51,-0.06,0.14,-0.01,2.11,-7.65,53.6,Foot Liftoff
13.55,-0.11,0.05,0.03,-7.45,-6.15,53.7,Foot Liftoff
13.59,-0.18,-0.01,-0.07,-19.05,-8.75,70.72,Foot Liftoff
13.64,-0.28,0,-0.08,-23.2,-17.71,84.26,Heel Landing
13.68,-0.46,-0.02,-0.12,-17.48,-19.62,83.2,Heel Landing
13.73,-0.63,-0.37,-0.21,-15.1,-19.34,79.48,Heel Landing
13.77,-0.3,-0.61,-0.31,-7.59,-11.51,73.17,Foot Landing
13.82,-0.6,-0.25,-0.21,19.65,21.06,-16.46,Foot Landing
13.86,-0.52,0.33,0.18,-14.42,6.92,-44.3,Foot Landing
13.91,-0.31,-0.28,-0.16,-3.06,17.8,-41.32,Foot Landing
13.95,-0.25,0,-0.25,0.17,14.3,-30.58,Foot Landing
14,-0.25,-0.05,-0.1,3.58,11,-19.8,Foot Landing
14.04,-0.25,-0.03,-0.11,1.36,6.94,-11.76,Foot Landing
14.08,-0.23,-0.05,-0.1,3.68,5.23,-7.55,Foot Landing
14.12,-0.23,-0.05,-0.11,7,4.74,-3.9,Foot Landing
14.17,-0.23,-0.04,-0.13,7.62,0.74,-3.8,Foot Landing
14.21,-0.24,-0.04,-0.11,6.45,-0.76,-4.71,Foot Landing
14.25,-0.24,-0.04,-0.11,4.71,-1.13,-6.01,Foot Landing
14.29,-0.23,-0.04,-0.11,3.8,-1.02,-7.38,Heel Liftoff
14.34,-0.24,-0.05,-0.12,3.77,-0.3,-8.45,Heel Liftoff
14.38,-0.27,-0.04,-0.11,6.84,0.56,-11.34,Heel Liftoff
14.42,-0.3,-0.04,-0.09,5.57,2.98,-19.8,Heel Liftoff
14.46,-0.32,-0.04,-0.14,9.62,6.42,-29.86,Foot Liftoff
14.51,-0.4,0,-0.14,22.45,4.06,-43.09,Foot Liftoff
14.55,-0.4,0.03,-0.03,27.57,-6.1,-65.5,Foot Liftoff
14.59,-0.4,-0.5,-0.25,13.52,22.89,-78.28,Foot Liftoff
14.64,-0.19,0.17,-0.1,21.21,15.45,-56.74,Foot Liftoff
14.68,-0.04,-0.24,-0.07,31.51,0.64,-28.18,Foot Liftoff
14.72,-0.07,0.04,-0.08,-2.35,3.74,32.23,Foot Liftoff
